release_group,paper_sets,embodiment,task,demonstrations,seed,bytes,sha256,relative_path
cross-embodiment prior,XP-3K;XP-900,IIWA,flip-mug-upright,100,20,958542209,,mg/IIWAOmron/FlipMugUpright/100demos_seed20/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,IIWA,flip-mug-upright,100,21,949761414,,mg/IIWAOmron/FlipMugUpright/100demos_seed21/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,IIWA,flip-mug-upright,100,22,977777776,,mg/IIWAOmron/FlipMugUpright/100demos_seed22/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,IIWA,flip-mug-upright,100,23,941671627,,mg/IIWAOmron/FlipMugUpright/100demos_seed23/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,IIWA,flip-mug-upright,100,24,1001928531,,mg/IIWAOmron/FlipMugUpright/100demos_seed24/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,IIWA,flip-mug-upright,100,25,1005572160,,mg/IIWAOmron/FlipMugUpright/100demos_seed25/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,IIWA,flip-mug-upright,100,26,1009356699,,mg/IIWAOmron/FlipMugUpright/100demos_seed26/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,IIWA,flip-mug-upright,100,27,939828899,,mg/IIWAOmron/FlipMugUpright/100demos_seed27/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,IIWA,flip-mug-upright,100,28,1044726073,,mg/IIWAOmron/FlipMugUpright/100demos_seed28/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,IIWA,flip-mug-upright,100,29,994103789,,mg/IIWAOmron/FlipMugUpright/100demos_seed29/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,IIWA,pick-and-place counter-to-sink,100,20,1417271118,,mg/IIWAOmron/PnPCounterToSink/100demos_seed20/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,IIWA,pick-and-place counter-to-sink,100,21,1431260338,,mg/IIWAOmron/PnPCounterToSink/100demos_seed21/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,IIWA,pick-and-place counter-to-sink,100,22,1371871296,,mg/IIWAOmron/PnPCounterToSink/100demos_seed22/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,IIWA,pick-and-place counter-to-sink,100,23,1369907385,,mg/IIWAOmron/PnPCounterToSink/100demos_seed23/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,IIWA,pick-and-place counter-to-sink,100,24,1438228229,,mg/IIWAOmron/PnPCounterToSink/100demos_seed24/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,IIWA,pick-and-place counter-to-sink,100,25,1431527559,,mg/IIWAOmron/PnPCounterToSink/100demos_seed25/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,IIWA,pick-and-place counter-to-sink,100,26,1420665977,,mg/IIWAOmron/PnPCounterToSink/100demos_seed26/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,IIWA,pick-and-place counter-to-sink,100,27,1306267930,,mg/IIWAOmron/PnPCounterToSink/100demos_seed27/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,IIWA,pick-and-place counter-to-sink,100,28,1314876341,,mg/IIWAOmron/PnPCounterToSink/100demos_seed28/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,IIWA,pick-and-place counter-to-sink,100,29,1371925444,,mg/IIWAOmron/PnPCounterToSink/100demos_seed29/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,IIWA,pick-and-place sink-to-counter,100,20,1655595129,,mg/IIWAOmron/PnPSinkToCounter/100demos_seed20/demo_gentex_im320_randcams.hdf5
