release_group,paper_sets,embodiment,task,demonstrations,seed,bytes,sha256,relative_path
same-embodiment prior,SP-900,Panda-OG,PnP Counter to Sink,100,0,1502958772,d319df6c73269f70ad69a73636d4eca823316b9ef039a22a2ac395d987d97136,mg/PandaOGOmron/PnPCounterToSink/100demos_seed0/demo_gentex_im320_randcams.hdf5
same-embodiment prior,SP-900,Panda-OG,PnP Counter to Sink,100,1,1488127751,2170cd7da55a6f5ebcf8a5d21d1c08c4cd9e89c136816641255c2c9a373cebbc,mg/PandaOGOmron/PnPCounterToSink/100demos_seed1/demo_gentex_im320_randcams.hdf5
same-embodiment prior,SP-900,Panda-OG,PnP Counter to Sink,100,2,1498936858,63fff47914df88ea4fe70f3eb841d1fc3be931407e292decab994634b33b2d3d,mg/PandaOGOmron/PnPCounterToSink/100demos_seed2/demo_gentex_im320_randcams.hdf5
same-embodiment prior,SP-900,Panda-OG,PnP Counter to Sink,100,3,1564331492,1d69b40d55f4b1864105f5fff056ab1fcd1d4c53ca74b9b7b3ef8110956741ca,mg/PandaOGOmron/PnPCounterToSink/100demos_seed3/demo_gentex_im320_randcams.hdf5
same-embodiment prior,SP-900,Panda-OG,PnP Counter to Sink,100,4,1545564232,b02a1385456e42bc55ff1ff89d2e05607c9e3db38113afc32ec470397aebe27c,mg/PandaOGOmron/PnPCounterToSink/100demos_seed4/demo_gentex_im320_randcams.hdf5
same-embodiment prior,SP-900,Panda-OG,PnP Counter to Sink,100,5,1498174285,ec0dd2f8fe7971a519e0d396ae7786a562ac42d44b8a8a56f4e856a03c3e41ab,mg/PandaOGOmron/PnPCounterToSink/100demos_seed5/demo_gentex_im320_randcams.hdf5
same-embodiment prior,SP-900,Panda-OG,PnP Counter to Sink,100,6,1515628601,520d3007d903fbd3128b2b20ec2ca6f6fd413c3defb3fe000bbcc67c640c0231,mg/PandaOGOmron/PnPCounterToSink/100demos_seed6/demo_gentex_im320_randcams.hdf5
same-embodiment prior,SP-900,Panda-OG,PnP Counter to Sink,100,7,1510574234,04f62a2758d88cf468b3622878d3aaf84ec64069d3f4670ac98956803c6cf12d,mg/PandaOGOmron/PnPCounterToSink/100demos_seed7/demo_gentex_im320_randcams.hdf5
same-embodiment prior,SP-900,Panda-OG,PnP Counter to Sink,100,8,1529349508,f45b934c8a2690060682a17a7bd6d9429d4fcf67a62b575010621ba5b5d1ad02,mg/PandaOGOmron/PnPCounterToSink/100demos_seed8/demo_gentex_im320_randcams.hdf5
same-embodiment prior,SP-900,Panda-OG,PnP Sink to Counter,100,0,1785672783,ec50231438fe9ac1f8313096b5c3788038d6e5f6e3fc2633033e445a5f693cb0,mg/PandaOGOmron/PnPSinkToCounter/100demos_seed0/demo_gentex_im320_randcams.hdf5
same-embodiment prior,SP-900,Panda-OG,PnP Sink to Counter,100,1,1811397023,4ae5999e190d729f66c4e90b8215392e0008bd0e74a84976aa5bcb743c88e5de,mg/PandaOGOmron/PnPSinkToCounter/100demos_seed1/demo_gentex_im320_randcams.hdf5
same-embodiment prior,SP-900,Panda-OG,PnP Sink to Counter,100,2,1762639387,2f3ce7de308b531d68c6a319187ddbf5195eddee3c9c4a7abcd3a781431dfb53,mg/PandaOGOmron/PnPSinkToCounter/100demos_seed2/demo_gentex_im320_randcams.hdf5
same-embodiment prior,SP-900,Panda-OG,PnP Sink to Counter,100,3,1803286036,3af058bf797709e93ab718a68f51848baaed4225270385437a4625755faa2541,mg/PandaOGOmron/PnPSinkToCounter/100demos_seed3/demo_gentex_im320_randcams.hdf5
same-embodiment prior,SP-900,Panda-OG,PnP Sink to Counter,100,4,1799303423,77c0930f3340c30cb607becd2593f2fd3209268d557a581e3a7e1f601bdba984,mg/PandaOGOmron/PnPSinkToCounter/100demos_seed4/demo_gentex_im320_randcams.hdf5
same-embodiment prior,SP-900,Panda-OG,PnP Sink to Counter,100,5,1814249944,cb067018a605beb27ae6ab536cfc8a08c880ce2d59d804e9fab79726c5739c5f,mg/PandaOGOmron/PnPSinkToCounter/100demos_seed5/demo_gentex_im320_randcams.hdf5
same-embodiment prior,SP-900,Panda-OG,PnP Sink to Counter,100,6,1809347834,78088175229cc2667f2a5ecd499e8270053fcb79e7ca6e7333013441c0537670,mg/PandaOGOmron/PnPSinkToCounter/100demos_seed6/demo_gentex_im320_randcams.hdf5
same-embodiment prior,SP-900,Panda-OG,PnP Sink to Counter,100,7,1856798885,eb93b4698285c45ffcb7df880124d1b71f58fd2a4ffcb654e7b9e583167d4fd4,mg/PandaOGOmron/PnPSinkToCounter/100demos_seed7/demo_gentex_im320_randcams.hdf5
same-embodiment prior,SP-900,Panda-OG,PnP Sink to Counter,100,8,1834352231,388d934a0050f0f49039e67855ac21b652265600ab441ad279da800f2ca63c53,mg/PandaOGOmron/PnPSinkToCounter/100demos_seed8/demo_gentex_im320_randcams.hdf5
