release_group,paper_sets,embodiment,task,demonstrations,seed,bytes,sha256,relative_path
cross-embodiment prior,XP-3K;XP-900,IIWA,Flip Mug Upright,100,20,1005982977,e18712e0a705719edeb26d63bbf259e04af7d25b9c985a74dc8e68029a6d9c95,mg/IIWAOmron/FlipMugUpright/100demos_seed20/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,IIWA,Flip Mug Upright,100,21,997146990,b330c91a4b96caffdb607cbc33a434ec1369a7759621eda81d38ac2a70a80ff4,mg/IIWAOmron/FlipMugUpright/100demos_seed21/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,IIWA,Flip Mug Upright,100,22,1025219984,008b49f3a5088d7843d6741fbc718c725850834c6dd4a67b4cb0fb8e427713ec,mg/IIWAOmron/FlipMugUpright/100demos_seed22/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,IIWA,Flip Mug Upright,100,23,989169339,d876b1ded87a7a24111e0e1a7db1b28507a0b8bfca87c7216682c5abfe93253d,mg/IIWAOmron/FlipMugUpright/100demos_seed23/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,IIWA,Flip Mug Upright,100,24,1048923235,5984a3929f030299813e04496558983ffb815dab8a837a02b906b235528c832b,mg/IIWAOmron/FlipMugUpright/100demos_seed24/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,IIWA,Flip Mug Upright,100,25,1053825256,1aa0ea2b3ae05575a872a38dfaf5a49672d8a4799947179381a5228750d99041,mg/IIWAOmron/FlipMugUpright/100demos_seed25/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,IIWA,Flip Mug Upright,100,26,1057288163,b88c6e4b8c3a45ac2549747518651ff2c03c14abae8afca3e9b667cd7a3ed798,mg/IIWAOmron/FlipMugUpright/100demos_seed26/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,IIWA,Flip Mug Upright,100,27,987161155,becb8643e26cfd507f22c5b0779c1e6d0fad61df7b617e506f230f26f37d8f6d,mg/IIWAOmron/FlipMugUpright/100demos_seed27/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,IIWA,Flip Mug Upright,100,28,1091172337,0d06ebf030f827ff711ac927cb1b97638b453ffb653dcffa582a422c3e0963b6,mg/IIWAOmron/FlipMugUpright/100demos_seed28/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,IIWA,Flip Mug Upright,100,29,1041835045,e1949b202ea8049d88c87fcb840e57c1d3ee5cd40a3ef92a2cf61017400e3c59,mg/IIWAOmron/FlipMugUpright/100demos_seed29/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,Kinova3,Flip Mug Upright,100,10,894421027,f5b2c2c42cf21c38bfb516c1e5e1abb5c6ec8c8b3fb2546d00d88fcc3e7d8bd3,mg/Kinova3Omron/FlipMugUpright/100demos_seed10/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,Kinova3,Flip Mug Upright,100,11,926934345,ba0daeb7aca8726802ac53086ef9aec1fc4d4c374e266fe6e65b78fadd7dd85b,mg/Kinova3Omron/FlipMugUpright/100demos_seed11/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,Kinova3,Flip Mug Upright,100,12,879731605,017e9da41e4b2c552e4b518f86c2a1c3f6db2aaf8947330d68640d3ed77523fb,mg/Kinova3Omron/FlipMugUpright/100demos_seed12/demo_gentex_im320_randcams.hdf5
