release_group,paper_sets,embodiment,task,demonstrations,seed,bytes,sha256,relative_path
cross-embodiment prior,XP-3K;XP-900,IIWA,PnP Counter to Sink,100,20,1465874374,74504670f0e48a56f54dfee1315608f9909b11f5c2ae5c0ad1290e9212768d9c,mg/IIWAOmron/PnPCounterToSink/100demos_seed20/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,IIWA,PnP Counter to Sink,100,21,1478912482,45cb58b3d57cd958bd3c283845586358fab951a3cae450704110a54b9eed2f1e,mg/IIWAOmron/PnPCounterToSink/100demos_seed21/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,IIWA,PnP Counter to Sink,100,22,1420684872,e389a90263a1a680c1464ad4434d38205e0c89e17646597294b875a4cc46bd09,mg/IIWAOmron/PnPCounterToSink/100demos_seed22/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,IIWA,PnP Counter to Sink,100,23,1417931585,5ed78f45a656dbd0bd8cf251f5babbdb08e2606090ffe45e04a2280b3959167c,mg/IIWAOmron/PnPCounterToSink/100demos_seed23/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,IIWA,PnP Counter to Sink,100,24,1485818885,9efeb46950c7575b0db078627d90fcfe073ba1fab1ca6f6c9d3724afe4c96ac2,mg/IIWAOmron/PnPCounterToSink/100demos_seed24/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,IIWA,PnP Counter to Sink,100,25,1479698055,27a7ec9449e246254c94584e6613afa67c0ede918bfe969ee73aaab7155c18d0,mg/IIWAOmron/PnPCounterToSink/100demos_seed25/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,IIWA,PnP Counter to Sink,100,26,1421572193,be3a3803b24d40204581b0415ad59f564f77c1408c2963f7640dd2299f1fc9e2,mg/IIWAOmron/PnPCounterToSink/100demos_seed26/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,IIWA,PnP Counter to Sink,100,27,1307174770,9f5c5196d8149cf022ee6ba5b757929a32da6ad6ec742d862d8335fb46410395,mg/IIWAOmron/PnPCounterToSink/100demos_seed27/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,IIWA,PnP Counter to Sink,100,28,1315745589,0dcb416089fac53fefe516e1d8b98bdfdafc4322b85c09d67414a4c2cc20d94b,mg/IIWAOmron/PnPCounterToSink/100demos_seed28/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,IIWA,PnP Counter to Sink,100,29,1372828908,0f018408b46bbaf488953796bed03b3ae0dc631fd138bdfb3b84ecf00e9af24a,mg/IIWAOmron/PnPCounterToSink/100demos_seed29/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,IIWA,PnP Sink to Counter,100,20,1656478785,ec0a0c61b4e8eda0940d9f9fa80e19e34fa699473325c2268feb84ae3e9a5477,mg/IIWAOmron/PnPSinkToCounter/100demos_seed20/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,IIWA,PnP Sink to Counter,100,21,1610709741,439cde8786f512fb8b32a897de957a0dd8bcf0a7ba8661eeb99232b954da7d65,mg/IIWAOmron/PnPSinkToCounter/100demos_seed21/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,IIWA,PnP Sink to Counter,100,22,1670028455,f7239a3cdd02bbe181ab7d9c0dc2680eb2a50c71cad789ec3744a324930c816e,mg/IIWAOmron/PnPSinkToCounter/100demos_seed22/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,IIWA,PnP Sink to Counter,100,23,1622224032,9b50b23dee83964fe2398c40ab8b8e1dfc4e95416a9634db7c7bcee6c1185545,mg/IIWAOmron/PnPSinkToCounter/100demos_seed23/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,IIWA,PnP Sink to Counter,100,24,1685310727,a9a05748ac6a3eebf2bcfc32acec330e6f86091aac97fbfb44915c9447cbfcc9,mg/IIWAOmron/PnPSinkToCounter/100demos_seed24/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,IIWA,PnP Sink to Counter,100,25,1606177194,598c84e2658c045932d25291deef15e7b1d1fbd90c631b1292c74f33d725c075,mg/IIWAOmron/PnPSinkToCounter/100demos_seed25/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,IIWA,PnP Sink to Counter,100,26,1594492388,1878173c0c859766c892ee39eddac71eb45ab370ad68d81e12f425952c50ba85,mg/IIWAOmron/PnPSinkToCounter/100demos_seed26/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,IIWA,PnP Sink to Counter,100,27,1688519289,4a62a2e3c0572d5cf0bdc9f4a73db74e9bfcc515bbf50bf5bf5f945989db1fd8,mg/IIWAOmron/PnPSinkToCounter/100demos_seed27/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,IIWA,PnP Sink to Counter,100,28,1633003699,8e092c63d15c572bb745057bf3fadb048116b1e1185fa4b47d94d1e261057be2,mg/IIWAOmron/PnPSinkToCounter/100demos_seed28/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,IIWA,PnP Sink to Counter,100,29,1679619346,62715f8f4cb2321dc0a00a6ded5126f51c80fabcb1cfa087d5adbce089f88872,mg/IIWAOmron/PnPSinkToCounter/100demos_seed29/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,Kinova3,PnP Counter to Sink,100,10,1261543269,b883cf12d27fc02f635a41f8ae610193f0d898f3a980afbdf8f4866d81daaab7,mg/Kinova3Omron/PnPCounterToSink/100demos_seed10/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,Kinova3,PnP Counter to Sink,100,11,1230474668,3353b5ff37b91ed6eff37979e831a20902fd2b195e90c586d158880eba36e214,mg/Kinova3Omron/PnPCounterToSink/100demos_seed11/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,Kinova3,PnP Counter to Sink,100,12,1186144428,f6909dd93734deb9431b36a7dcad7e6891474ebd2f8c694a7af187bfc5f075bf,mg/Kinova3Omron/PnPCounterToSink/100demos_seed12/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,Kinova3,PnP Counter to Sink,100,13,1240251956,4777ce0c918c9dd14172dcb9be9734a6e28745313d5c10d3f17d75eba400b885,mg/Kinova3Omron/PnPCounterToSink/100demos_seed13/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,Kinova3,PnP Counter to Sink,100,14,1233960533,2d9fa0aabedb5559bd13643bd069be67e7b216f47cf9c664cb49ea88bda4d55f,mg/Kinova3Omron/PnPCounterToSink/100demos_seed14/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,Kinova3,PnP Counter to Sink,100,15,1232135464,3b4a8be7f791872bd880c00f65d383b6be593c7eb804cb046b6e5c5432538b37,mg/Kinova3Omron/PnPCounterToSink/100demos_seed15/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,Kinova3,PnP Counter to Sink,100,16,1213885135,114e0bd0e02b1efef0f67d2bc2e262951b7a0c9af069070c2a336478b392c1d9,mg/Kinova3Omron/PnPCounterToSink/100demos_seed16/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,Kinova3,PnP Counter to Sink,100,17,1219281670,2ca1dd509001c19c8a5c94dbd9161f6314a27403b6f0517ca4c6c7d2a798c1c3,mg/Kinova3Omron/PnPCounterToSink/100demos_seed17/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,Kinova3,PnP Counter to Sink,100,18,1242191301,e7921731c2bca6ae0386432aa8a1ba1b826e9d226a71dcda3204585e410593e4,mg/Kinova3Omron/PnPCounterToSink/100demos_seed18/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,Kinova3,PnP Counter to Sink,100,19,1195224702,47e6f4c18083a2ca1f9396203b627523ca32e5c07e85658f694e79f745891651,mg/Kinova3Omron/PnPCounterToSink/100demos_seed19/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,Kinova3,PnP Sink to Counter,100,10,1495828867,26308b8d0c69b07d60e481e38dd2a523dd43f7ca166a0604f2b15e91c4537397,mg/Kinova3Omron/PnPSinkToCounter/100demos_seed10/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,Kinova3,PnP Sink to Counter,100,11,1512845287,6cc43c20c0497a86610efd0b2c273fb27af97d6a2bc3ee7dac0616f89b21883d,mg/Kinova3Omron/PnPSinkToCounter/100demos_seed11/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,Kinova3,PnP Sink to Counter,100,12,1536491907,e37d45b84677e5586ae3b1dfaf76c19ab7ed0ab5b701c2dd749505e989694dd4,mg/Kinova3Omron/PnPSinkToCounter/100demos_seed12/demo_gentex_im320_randcams.hdf5
