release_group,paper_sets,embodiment,task,demonstrations,seed,bytes,sha256,relative_path
cross-embodiment prior,XP-3K;XP-900,IIWA,Turn On Sink Faucet,100,20,1268468492,98d93bbac2249cff53edb0105f89abe420ef1583d34008bdc4ff0129a504a3cc,mg/IIWAOmron/TurnOnSinkFaucet/100demos_seed20/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,IIWA,Turn On Sink Faucet,100,21,1289693843,bc5bc798dd2868a2661962803f6c202afe1108e72eaee49107af843bd15c1512,mg/IIWAOmron/TurnOnSinkFaucet/100demos_seed21/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,IIWA,Turn On Sink Faucet,100,22,1283454396,1d52acfc98c51b610ca09ecbe9cde68961e36c30ce33e22cbebabae4afac03cf,mg/IIWAOmron/TurnOnSinkFaucet/100demos_seed22/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,IIWA,Turn On Sink Faucet,100,23,1367305443,7652fba68ff7fa15b8f3874b41b53a5683bcd79a6d15dbe3c91db0492cf9a47b,mg/IIWAOmron/TurnOnSinkFaucet/100demos_seed23/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,IIWA,Turn On Sink Faucet,100,24,1314291913,eab7e9abd354b5743bc896c11aa51b17cfea96e48166e2fb0ee2801c22741be2,mg/IIWAOmron/TurnOnSinkFaucet/100demos_seed24/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,IIWA,Turn On Sink Faucet,100,25,1223364492,8a5c1d7aa308cd0d287e5bff9391118e0fa154872e4fde29da20b6a9d3c0b938,mg/IIWAOmron/TurnOnSinkFaucet/100demos_seed25/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,IIWA,Turn On Sink Faucet,100,26,1250325402,a786ddaafc07704011a0a1a6264033bfe8486bb39a881142d79107a977d03524,mg/IIWAOmron/TurnOnSinkFaucet/100demos_seed26/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,IIWA,Turn On Sink Faucet,100,27,1269853948,66c0d4b966344bc6f748cdb97e98826ddeb4cb6d12910bd23f08ab02aa40bb87,mg/IIWAOmron/TurnOnSinkFaucet/100demos_seed27/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,IIWA,Turn On Sink Faucet,100,28,1282144498,c929fda3544205a4585f7bb9f51c2d701cc7afad970b82c7f5f1b1d85fc7c876,mg/IIWAOmron/TurnOnSinkFaucet/100demos_seed28/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,IIWA,Turn On Sink Faucet,100,29,1297881477,bae624acc34de39f380f6a0dd1f268dbc5b42c5996fe33c1e4b182f813eb09e3,mg/IIWAOmron/TurnOnSinkFaucet/100demos_seed29/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,Kinova3,Turn On Sink Faucet,100,10,1432154731,a67fe180a9641dd86ffc209734e49db66f9b0c85826195d82f8b1b58ba35ffb5,mg/Kinova3Omron/TurnOnSinkFaucet/100demos_seed10/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,Kinova3,Turn On Sink Faucet,100,11,1429488968,5b8ba0da84729e0c3363378be384b6537c40153993b3fc3941e47f6a9b90a4d2,mg/Kinova3Omron/TurnOnSinkFaucet/100demos_seed11/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,Kinova3,Turn On Sink Faucet,100,12,1403610447,68d838d39b072a3b12e7cab358c1348e2a6ef5a549b26b0a923ad23e61246377,mg/Kinova3Omron/TurnOnSinkFaucet/100demos_seed12/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,Kinova3,Turn On Sink Faucet,100,13,1437142299,231aeca51d3d5bde60fb0aa26beb0569abbf64932578fdae70037781819d86d3,mg/Kinova3Omron/TurnOnSinkFaucet/100demos_seed13/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,Kinova3,Turn On Sink Faucet,100,14,1416783113,0f437fbeadc9841708c067fd4febff4690a5b02cc60f0d84360625c2bfcb181c,mg/Kinova3Omron/TurnOnSinkFaucet/100demos_seed14/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K,Kinova3,Turn On Sink Faucet,100,15,1461597026,726f2006f3122326c777441f51671b9cac48f7ef8edc12ca35a50eb5eb32a7a2,mg/Kinova3Omron/TurnOnSinkFaucet/100demos_seed15/demo_gentex_im320_randcams.hdf5
