release_group,paper_sets,embodiment,task,demonstrations,seed,bytes,sha256,relative_path
cross-embodiment prior,XP-3K;XP-900,IIWA,PnP Counter to Sink,100,20,1465874374,74504670f0e48a56f54dfee1315608f9909b11f5c2ae5c0ad1290e9212768d9c,mg/IIWAOmron/PnPCounterToSink/100demos_seed20/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,IIWA,PnP Counter to Sink,100,21,1478912482,45cb58b3d57cd958bd3c283845586358fab951a3cae450704110a54b9eed2f1e,mg/IIWAOmron/PnPCounterToSink/100demos_seed21/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,IIWA,PnP Counter to Sink,100,22,1420684872,e389a90263a1a680c1464ad4434d38205e0c89e17646597294b875a4cc46bd09,mg/IIWAOmron/PnPCounterToSink/100demos_seed22/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,IIWA,PnP Sink to Counter,100,20,1656478785,ec0a0c61b4e8eda0940d9f9fa80e19e34fa699473325c2268feb84ae3e9a5477,mg/IIWAOmron/PnPSinkToCounter/100demos_seed20/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,IIWA,PnP Sink to Counter,100,21,1610709741,439cde8786f512fb8b32a897de957a0dd8bcf0a7ba8661eeb99232b954da7d65,mg/IIWAOmron/PnPSinkToCounter/100demos_seed21/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,IIWA,PnP Sink to Counter,100,22,1670028455,f7239a3cdd02bbe181ab7d9c0dc2680eb2a50c71cad789ec3744a324930c816e,mg/IIWAOmron/PnPSinkToCounter/100demos_seed22/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,Kinova3,PnP Counter to Sink,100,10,1261543269,b883cf12d27fc02f635a41f8ae610193f0d898f3a980afbdf8f4866d81daaab7,mg/Kinova3Omron/PnPCounterToSink/100demos_seed10/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,Kinova3,PnP Counter to Sink,100,11,1230474668,3353b5ff37b91ed6eff37979e831a20902fd2b195e90c586d158880eba36e214,mg/Kinova3Omron/PnPCounterToSink/100demos_seed11/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,Kinova3,PnP Counter to Sink,100,12,1186144428,f6909dd93734deb9431b36a7dcad7e6891474ebd2f8c694a7af187bfc5f075bf,mg/Kinova3Omron/PnPCounterToSink/100demos_seed12/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,Kinova3,PnP Sink to Counter,100,10,1495828867,26308b8d0c69b07d60e481e38dd2a523dd43f7ca166a0604f2b15e91c4537397,mg/Kinova3Omron/PnPSinkToCounter/100demos_seed10/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,Kinova3,PnP Sink to Counter,100,11,1512845287,6cc43c20c0497a86610efd0b2c273fb27af97d6a2bc3ee7dac0616f89b21883d,mg/Kinova3Omron/PnPSinkToCounter/100demos_seed11/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,Kinova3,PnP Sink to Counter,100,12,1536491907,e37d45b84677e5586ae3b1dfaf76c19ab7ed0ab5b701c2dd749505e989694dd4,mg/Kinova3Omron/PnPSinkToCounter/100demos_seed12/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,UR5e,PnP Counter to Sink,100,0,1316175117,809d2df7698f64c645a499a0d05ac6d4b0dc857913049f2110d6fded1615d938,mg/UR5eOmron/PnPCounterToSink/100demos_seed0/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,UR5e,PnP Counter to Sink,100,1,1322198857,8dbf66425a24c5d360c3158b6aae229f5e97a3940e44d5f71479c10a9f2ea914,mg/UR5eOmron/PnPCounterToSink/100demos_seed1/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,UR5e,PnP Counter to Sink,100,2,1266208095,1141c84301152e25f1aa480e8c77f7b450d4a41a55f8bb7dbca5b237cf4a6038,mg/UR5eOmron/PnPCounterToSink/100demos_seed2/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,UR5e,PnP Sink to Counter,100,0,1542598534,4da925ca3c6dcc92b0d31df981fbac576d1db5b871bad421451e56ac36543efd,mg/UR5eOmron/PnPSinkToCounter/100demos_seed0/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,UR5e,PnP Sink to Counter,100,1,1510615977,361d791d7c3536e3883e6a7a9840ea695ac8a5ad4d216ea006befce692525c5e,mg/UR5eOmron/PnPSinkToCounter/100demos_seed1/demo_gentex_im320_randcams.hdf5
cross-embodiment prior,XP-3K;XP-900,UR5e,PnP Sink to Counter,100,2,1491350951,830a6e5542739d374b29ae8198ee7afdac65b2688210ec63765d6fe9ec9d1ee7,mg/UR5eOmron/PnPSinkToCounter/100demos_seed2/demo_gentex_im320_randcams.hdf5
