task,robot,model,checkpoint,action,success_rate
PnPCounterToSink,PandaOGGripper,base--panda_og_pnp,1_0k,act,2.0
PnPCounterToSink,PandaOGGripper,base--panda_og_pnp,3_0k,act,4.0
PnPCounterToSink,PandaOGGripper,base--panda_og_pnp,2_0k,act,4.0
PnPCounterToSink,PandaOGGripper,aux--panda_og+mg_pnp,2_0k,act,25.0
PnPCounterToSink,PandaOGGripper,aux--panda_og+mg_pnp,3_0k,act,37.0
PnPCounterToSink,PandaOGGripper,aux--panda_og+mg_pnp,1_0k,act,32.0
PnPCounterToSink,PandaOGGripper,base--panda_og+mg_pnp,1_0k,act,5.0
PnPCounterToSink,PandaOGGripper,base--panda_og+mg_pnp,3_0k,act,8.0
PnPCounterToSink,PandaOGGripper,base--panda_og+mg_pnp,2_0k,act,9.0
PnPCounterToSink,PandaOGGripper,aux--panda_og+mg_pnp_lite,1_0k,ee,18.0
PnPCounterToSink,PandaOGGripper,aux--panda_og+mg_pnp_lite,1_0k,act,19.0
PnPCounterToSink,PandaOGGripper,aux--panda_og+mg_pnp_lite,1_0k,bbox,24.0
PnPCounterToSink,PandaOGGripper,aux--panda_og+mg_pnp_lite,1_0k,lm,18.0
PnPCounterToSink,PandaOGGripper,aux--panda_og+mg_pnp_lite,2_0k,ee,25.0
PnPCounterToSink,PandaOGGripper,aux--panda_og+mg_pnp_lite,2_0k,lm,16.0
PnPCounterToSink,PandaOGGripper,aux--panda_og+mg_pnp_lite,2_0k,bbox,21.0
PnPCounterToSink,PandaOGGripper,aux--panda_og+mg_pnp_lite,2_0k,act,20.0
PnPCounterToSink,PandaOGGripper,aux--panda_og+mg_pnp_lite,3_0k,act,20.0
PnPCounterToSink,PandaOGGripper,aux--panda_og+mg_pnp_lite,3_0k,ee,21.0
PnPCounterToSink,PandaOGGripper,aux--panda_og+mg_pnp_lite,3_0k,bbox,18.0
PnPCounterToSink,PandaOGGripper,aux--panda_og+mg_pnp_lite,3_0k,lm,18.0
PnPCounterToSink,PandaOGGripper,aux--mg_pnp,250_0k,act,0.0
PnPCounterToSink,PandaOGGripper,aux--mg_pnp,200_0k,act,1.0
PnPCounterToSink,PandaOGGripper,aux--mg_pnp,150_0k,act,4.0
PnPCounterToSink,PandaOGGripper,aux--panda_og_pnp,2_0k,act,12.0
PnPCounterToSink,PandaOGGripper,aux--panda_og_pnp,3_0k,act,10.0
PnPCounterToSink,PandaOGGripper,aux--panda_og_pnp,1_0k,act,8.0
PnPCounterToSink,PandaOGGripper,lm--panda_og+mg_pnp_lite,3_0k,act,7.0
PnPCounterToSink,PandaOGGripper,lm--panda_og+mg_pnp_lite,2_0k,act,4.0
PnPCounterToSink,PandaOGGripper,lm--panda_og+mg_pnp_lite,1_0k,act,6.0
PnPCounterToSink,PandaOGGripper,bbox--panda_og+mg_pnp_lite,2_0k,act,4.0
PnPCounterToSink,PandaOGGripper,bbox--panda_og+mg_pnp_lite,3_0k,act,10.0
